#turbo

# 0 : #30123B
0,48,18,59
# 1 : #321543
1,50,21,67
# 2 : #33184A
2,51,24,74
# 3 : #341B51
3,52,27,81
# 4 : #351E58
4,53,30,88
# 5 : #36215F
5,54,33,95
# 6 : #372466
6,55,36,102
# 7 : #38276D
7,56,39,109
# 8 : #392A73
8,57,42,115
# 9 : #3A2D79
9,58,45,121
# 10 : #3B2F80
10,59,47,128
# 11 : #3C3286
11,60,50,134
# 12 : #3D358B
12,61,53,139
# 13 : #3E3891
13,62,56,145
# 14 : #3F3B97
14,63,59,151
# 15 : #3F3E9C
15,63,62,156
# 16 : #4040A2
16,64,64,162
# 17 : #4143A7
17,65,67,167
# 18 : #4146AC
18,65,70,172
# 19 : #4249B1
19,66,73,177
# 20 : #424BB5
20,66,75,181
# 21 : #434EBA
21,67,78,186
# 22 : #4451BF
22,68,81,191
# 23 : #4454C3
23,68,84,195
# 24 : #4456C7
24,68,86,199
# 25 : #4559CB
25,69,89,203
# 26 : #455CCF
26,69,92,207
# 27 : #455ED3
27,69,94,211
# 28 : #4661D6
28,70,97,214
# 29 : #4664DA
29,70,100,218
# 30 : #4666DD
30,70,102,221
# 31 : #4669E0
31,70,105,224
# 32 : #466BE3
32,70,107,227
# 33 : #476EE6
33,71,110,230
# 34 : #4771E9
34,71,113,233
# 35 : #4773EB
35,71,115,235
# 36 : #4776EE
36,71,118,238
# 37 : #4778F0
37,71,120,240
# 38 : #477BF2
38,71,123,242
# 39 : #467DF4
39,70,125,244
# 40 : #4680F6
40,70,128,246
# 41 : #4682F8
41,70,130,248
# 42 : #4685FA
42,70,133,250
# 43 : #4687FB
43,70,135,251
# 44 : #458AFC
44,69,138,252
# 45 : #458CFD
45,69,140,253
# 46 : #448FFE
46,68,143,254
# 47 : #4391FE
47,67,145,254
# 48 : #4294FF
48,66,148,255
# 49 : #4196FF
49,65,150,255
# 50 : #4099FF
50,64,153,255
# 51 : #3E9BFE
51,62,155,254
# 52 : #3D9EFE
52,61,158,254
# 53 : #3BA0FD
53,59,160,253
# 54 : #3AA3FC
54,58,163,252
# 55 : #38A5FB
55,56,165,251
# 56 : #37A8FA
56,55,168,250
# 57 : #35ABF8
57,53,171,248
# 58 : #33ADF7
58,51,173,247
# 59 : #31AFF5
59,49,175,245
# 60 : #2FB2F4
60,47,178,244
# 61 : #2EB4F2
61,46,180,242
# 62 : #2CB7F0
62,44,183,240
# 63 : #2AB9EE
63,42,185,238
# 64 : #28BCEB
64,40,188,235
# 65 : #27BEE9
65,39,190,233
# 66 : #25C0E7
66,37,192,231
# 67 : #23C3E4
67,35,195,228
# 68 : #22C5E2
68,34,197,226
# 69 : #20C7DF
69,32,199,223
# 70 : #1FC9DD
70,31,201,221
# 71 : #1ECBDA
71,30,203,218
# 72 : #1CCDD8
72,28,205,216
# 73 : #1BD0D5
73,27,208,213
# 74 : #1AD2D2
74,26,210,210
# 75 : #1AD4D0
75,26,212,208
# 76 : #19D5CD
76,25,213,205
# 77 : #18D7CA
77,24,215,202
# 78 : #18D9C8
78,24,217,200
# 79 : #18DBC5
79,24,219,197
# 80 : #18DDC2
80,24,221,194
# 81 : #18DEC0
81,24,222,192
# 82 : #18E0BD
82,24,224,189
# 83 : #19E2BB
83,25,226,187
# 84 : #19E3B9
84,25,227,185
# 85 : #1AE4B6
85,26,228,182
# 86 : #1CE6B4
86,28,230,180
# 87 : #1DE7B2
87,29,231,178
# 88 : #1FE9AF
88,31,233,175
# 89 : #20EAAC
89,32,234,172
# 90 : #22EBAA
90,34,235,170
# 91 : #25ECA7
91,37,236,167
# 92 : #27EEA4
92,39,238,164
# 93 : #2AEFA1
93,42,239,161
# 94 : #2CF09E
94,44,240,158
# 95 : #2FF19B
95,47,241,155
# 96 : #32F298
96,50,242,152
# 97 : #35F394
97,53,243,148
# 98 : #38F491
98,56,244,145
# 99 : #3CF58E
99,60,245,142
# 100 : #3FF68A
100,63,246,138
# 101 : #43F787
101,67,247,135
# 102 : #46F884
102,70,248,132
# 103 : #4AF880
103,74,248,128
# 104 : #4EF97D
104,78,249,125
# 105 : #52FA7A
105,82,250,122
# 106 : #55FA76
106,85,250,118
# 107 : #59FB73
107,89,251,115
# 108 : #5DFC6F
108,93,252,111
# 109 : #61FC6C
109,97,252,108
# 110 : #65FD69
110,101,253,105
# 111 : #69FD66
111,105,253,102
# 112 : #6DFE62
112,109,254,98
# 113 : #71FE5F
113,113,254,95
# 114 : #75FE5C
114,117,254,92
# 115 : #79FE59
115,121,254,89
# 116 : #7DFF56
116,125,255,86
# 117 : #80FF53
117,128,255,83
# 118 : #84FF51
118,132,255,81
# 119 : #88FF4E
119,136,255,78
# 120 : #8BFF4B
120,139,255,75
# 121 : #8FFF49
121,143,255,73
# 122 : #92FF47
122,146,255,71
# 123 : #96FE44
123,150,254,68
# 124 : #99FE42
124,153,254,66
# 125 : #9CFE40
125,156,254,64
# 126 : #9FFD3F
126,159,253,63
# 127 : #A1FD3D
127,161,253,61
# 128 : #A4FC3C
128,164,252,60
# 129 : #A7FC3A
129,167,252,58
# 130 : #A9FB39
130,169,251,57
# 131 : #ACFB38
131,172,251,56
# 132 : #AFFA37
132,175,250,55
# 133 : #B1F936
133,177,249,54
# 134 : #B4F836
134,180,248,54
# 135 : #B7F735
135,183,247,53
# 136 : #B9F635
136,185,246,53
# 137 : #BCF534
137,188,245,52
# 138 : #BEF434
138,190,244,52
# 139 : #C1F334
139,193,243,52
# 140 : #C3F134
140,195,241,52
